step,client_id,from_ap,to_ap,client_x,client_y
892,9,0,3,20.00,14.48
893,12,5,4,32.76,25.01
895,2,6,3,35.36,8.72
897,10,3,6,37.03,0.47
898,6,6,4,33.63,17.82
899,12,4,2,23.60,28.10
900,7,6,3,33.60,15.79
901,9,3,6,35.67,7.11
903,4,6,5,36.58,29.09
905,6,4,3,25.24,24.75
905,11,2,5,28.15,38.91
908,2,3,0,22.53,3.27
908,12,2,0,9.57,37.15
909,0,0,2,11.01,48.84
909,4,5,2,27.37,36.28
909,6,3,1,18.78,22.77
910,3,3,1,19.45,23.20
910,7,3,0,17.42,19.48
912,6,1,0,13.55,22.09
919,3,1,0,10.48,27.04
919,10,6,5,35.95,25.53
921,9,6,5,37.61,29.84
926,8,6,3,35.25,2.43
926,10,5,6,38.64,38.29
926,11,5,6,37.95,28.74
926,12,0,2,9.95,39.55
929,4,2,0,9.10,38.20
931,0,2,5,28.00,48.37
932,7,0,3,19.79,10.93
932,9,5,6,30.51,48.92
933,0,5,6,29.44,48.25
935,12,2,1,18.36,24.94
936,3,0,2,10.68,33.97
936,9,6,5,32.48,44.62
938,12,1,0,16.74,19.74
939,2,0,1,13.21,26.48
941,2,1,2,16.84,27.77
942,7,3,6,35.98,3.12
946,2,2,4,26.04,28.24
946,4,0,1,13.71,22.39
947,6,0,1,12.36,27.88
947,13,0,3,21.32,6.85
948,9,5,4,33.97,22.11
949,2,4,5,30.65,31.45
949,4,1,0,18.17,19.47
950,4,0,3,19.54,18.29
951,8,3,1,18.75,21.47
951,9,4,3,32.81,16.31
952,6,1,3,19.81,23.22
954,8,1,2,19.39,24.66
957,2,5,2,27.85,45.03
958,9,3,6,35.73,3.09
961,4,3,6,36.74,6.14
961,7,6,4,33.34,20.14
962,6,3,6,34.65,17.82
964,11,6,3,34.96,8.92
966,10,6,3,34.69,12.92
968,3,2,3,23.90,25.47
968,7,4,2,23.23,28.32
970,5,0,3,18.57,16.61
972,9,6,4,34.07,21.12
975,10,3,0,22.28,3.44
976,5,3,1,19.31,24.28
978,2,2,3,22.94,24.98
979,3,3,0,18.54,11.32
979,7,2,0,8.33,40.93
979,11,3,0,23.80,0.58
980,5,1,2,16.11,28.53
980,6,6,4,33.61,18.83
980,8,2,5,28.49,46.58
980,9,4,2,25.88,34.20
980,13,3,2,22.26,25.04
982,6,4,3,29.99,20.16
983,2,3,4,29.67,20.90
983,4,6,5,37.99,32.38
987,2,4,6,36.08,20.73
988,5,2,0,9.54,36.91
989,1,0,1,12.16,27.52
989,6,3,0,17.52,15.90
989,8,5,6,38.63,36.09
990,4,5,6,33.97,45.06
991,12,0,2,9.46,39.21
992,12,2,0,9.47,37.73
993,9,2,0,8.85,49.55
994,1,1,3,19.78,22.12
995,4,6,5,30.72,46.40
1000,4,5,2,27.06,38.03
