step,source_ap,dest_ap,weight,interference_dbm,distance
79,1,2,0.0271,-56.66,14.05
79,2,0,0.0000,-56.09,12.83
79,2,1,0.0268,-57.27,14.05
80,0,1,0.0239,-52.86,6.98
80,0,2,0.0000,-60.80,12.83
80,1,0,0.0308,-47.54,6.98
80,1,2,0.0271,-56.66,14.05
80,2,0,0.0000,-56.09,12.83
80,2,1,0.0268,-57.27,14.05
81,0,1,0.0247,-52.86,6.98
81,0,2,0.0000,-60.80,12.83
81,1,0,0.0308,-47.54,6.98
81,1,2,0.0271,-56.66,14.05
81,2,0,0.0000,-56.09,12.83
81,2,1,0.0268,-57.27,14.05
82,0,1,0.0247,-52.86,6.98
82,0,2,0.0000,-60.80,12.83
82,1,0,0.0308,-47.54,6.98
82,1,2,0.0271,-56.66,14.05
82,2,0,0.0000,-56.09,12.83
82,2,1,0.0268,-57.27,14.05
83,0,1,0.0233,-52.86,6.98
83,0,2,0.0000,-60.80,12.83
83,1,0,0.0308,-47.54,6.98
83,1,2,0.0271,-56.66,14.05
83,2,0,0.0000,-56.09,12.83
83,2,1,0.0268,-57.27,14.05
84,0,1,0.0233,-52.86,6.98
84,0,2,0.0000,-60.80,12.83
84,1,0,0.0308,-47.54,6.98
84,1,2,0.0271,-56.66,14.05
84,2,0,0.0000,-56.09,12.83
84,2,1,0.0268,-57.27,14.05
85,0,1,0.0233,-52.86,6.98
85,0,2,0.0000,-60.80,12.83
85,1,0,0.0308,-47.54,6.98
85,1,2,0.0271,-56.66,14.05
85,2,0,0.0000,-56.09,12.83
85,2,1,0.0268,-57.27,14.05
86,0,1,0.0233,-52.86,6.98
86,0,2,0.0000,-60.80,12.83
86,1,0,0.0308,-47.54,6.98
86,1,2,0.0271,-56.66,14.05
86,2,0,0.0000,-56.09,12.83
86,2,1,0.0268,-57.27,14.05
87,0,1,0.0243,-52.86,6.98
87,0,2,0.0000,-60.80,12.83
87,1,0,0.0308,-47.54,6.98
87,1,2,0.0271,-56.66,14.05
87,2,0,0.0000,-56.09,12.83
87,2,1,0.0268,-57.27,14.05
88,0,1,0.0230,-52.86,6.98
88,0,2,0.0000,-60.80,12.83
88,1,0,0.0308,-47.54,6.98
88,1,2,0.0271,-56.66,14.05
88,2,0,0.0000,-56.09,12.83
88,2,1,0.0268,-57.27,14.05
89,0,1,0.0237,-52.86,6.98
89,0,2,0.0000,-60.80,12.83
89,1,0,0.0308,-47.54,6.98
89,1,2,0.0271,-56.66,14.05
89,2,0,0.0000,-56.09,12.83
89,2,1,0.0268,-57.27,14.05
90,0,1,0.0251,-52.86,6.98
90,0,2,0.0000,-60.80,12.83
90,1,0,0.0308,-47.54,6.98
90,1,2,0.0271,-56.66,14.05
90,2,0,0.0000,-56.09,12.83
90,2,1,0.0268,-57.27,14.05
91,0,1,0.0251,-52.86,6.98
91,0,2,0.0000,-60.80,12.83
91,1,0,0.0308,-47.54,6.98
91,1,2,0.0271,-56.66,14.05
91,2,0,0.0000,-56.09,12.83
91,2,1,0.0268,-57.27,14.05
92,0,1,0.0235,-52.86,6.98
92,0,2,0.0000,-60.80,12.83
92,1,0,0.0308,-47.54,6.98
92,1,2,0.0271,-56.66,14.05
92,2,0,0.0000,-56.09,12.83
92,2,1,0.0268,-57.27,14.05
93,0,1,0.0246,-52.86,6.98
93,0,2,0.0000,-60.80,12.83
93,1,0,0.0308,-47.54,6.98
93,1,2,0.0271,-56.66,14.05
93,2,0,0.0000,-56.09,12.83
93,2,1,0.0268,-57.27,14.05
94,0,1,0.0246,-52.86,6.98
94,0,2,0.0000,-60.80,12.83
94,1,0,0.0308,-47.54,6.98
94,1,2,0.0271,-56.66,14.05
94,2,0,0.0000,-56.09,12.83
94,2,1,0.0268,-57.27,14.05
95,0,1,0.0238,-52.86,6.98
95,0,2,0.0000,-60.80,12.83
95,1,0,0.0308,-47.54,6.98
95,1,2,0.0271,-56.66,14.05
95,2,0,0.0000,-56.09,12.83
95,2,1,0.0268,-57.27,14.05
96,0,1,0.0228,-52.86,6.98
96,0,2,0.0000,-60.80,12.83
96,1,0,0.0308,-47.54,6.98
96,1,2,0.0271,-56.66,14.05
96,2,0,0.0000,-56.09,12.83
96,2,1,0.0268,-57.27,14.05
97,0,1,0.0244,-52.86,6.98
97,0,2,0.0000,-60.80,12.83
97,1,0,0.0308,-47.54,6.98
97,1,2,0.0271,-56.66,14.05
97,2,0,0.0000,-56.09,12.83
97,2,1,0.0268,-57.27,14.05
98,0,1,0.0244,-52.86,6.98
98,0,2,0.0000,-60.80,12.83
98,1,0,0.0308,-47.54,6.98
98,1,2,0.0271,-56.66,14.05
98,2,0,0.0000,-56.09,12.83
98,2,1,0.0268,-57.27,14.05
99,0,1,0.0231,-52.86,6.98
99,0,2,0.0000,-60.80,12.83
99,1,0,0.0308,-47.54,6.98
99,1,2,0.0271,-56.66,14.05
99,2,0,0.0000,-56.09,12.83
99,2,1,0.0268,-57.27,14.05
100,0,1,0.0241,-52.86,6.98
100,0,2,0.0000,-60.80,12.83
100,1,0,0.0308,-47.54,6.98
100,1,2,0.0271,-56.66,14.05
100,2,0,0.0000,-56.09,12.83
100,2,1,0.0268,-57.27,14.05
101,0,1,0.0258,-52.86,6.98
101,0,2,0.0000,-60.80,12.83
101,1,0,0.0308,-47.54,6.98
101,1,2,0.0271,-56.66,14.05
101,2,0,0.0000,-56.09,12.83
101,2,1,0.0268,-57.27,14.05
102,0,1,0.0258,-52.86,6.98
102,0,2,0.0000,-60.80,12.83
102,1,0,0.0308,-47.54,6.98
102,1,2,0.0271,-56.66,14.05
102,2,0,0.0000,-56.09,12.83
102,2,1,0.0268,-57.27,14.05
103,0,1,0.0258,-52.86,6.98
103,0,2,0.0000,-60.80,12.83
103,1,0,0.0308,-47.54,6.98
103,1,2,0.0271,-56.66,14.05
103,2,0,0.0000,-56.09,12.83
103,2,1,0.0268,-57.27,14.05
104,0,1,0.0258,-52.86,6.98
104,0,2,0.0000,-60.80,12.83
104,1,0,0.0308,-47.54,6.98
104,1,2,0.0271,-56.66,14.05
104,2,0,0.0000,-56.09,12.83
104,2,1,0.0268,-57.27,14.05
105,0,1,0.0262,-52.86,6.98
105,0,2,0.0000,-60.80,12.83
105,1,0,0.0308,-47.54,6.98
105,1,2,0.0271,-56.66,14.05
105,2,0,0.0000,-56.09,12.83
105,2,1,0.0268,-57.27,14.05
106,0,1,0.0267,-52.86,6.98
106,0,2,0.0000,-60.80,12.83
106,1,0,0.0308,-47.54,6.98
106,1,2,0.0271,-56.66,14.05
106,2,0,0.0000,-56.09,12.83
106,2,1,0.0268,-57.27,14.05
107,0,1,0.0250,-52.86,6.98
107,0,2,0.0000,-60.80,12.83
107,1,0,0.0308,-47.54,6.98
107,1,2,0.0271,-56.66,14.05
107,2,0,0.0000,-56.09,12.83
107,2,1,0.0268,-57.27,14.05
108,0,1,0.0224,-52.86,6.98
108,0,2,0.0000,-60.80,12.83
108,1,0,0.0308,-47.54,6.98
108,1,2,0.0271,-56.66,14.05
108,2,0,0.0000,-56.09,12.83
108,2,1,0.0268,-57.27,14.05
109,0,1,0.0215,-52.86,6.98
109,0,2,0.0000,-60.80,12.83
109,1,0,0.0308,-47.54,6.98
109,1,2,0.0271,-56.66,14.05
109,2,0,0.0000,-56.09,12.83
109,2,1,0.0268,-57.27,14.05
110,0,1,0.0215,-52.86,6.98
110,0,2,0.0000,-60.80,12.83
110,1,0,0.0308,-47.54,6.98
110,1,2,0.0271,-56.66,14.05
110,2,0,0.0000,-56.09,12.83
110,2,1,0.0268,-57.27,14.05
111,0,1,0.0215,-52.86,6.98
111,0,2,0.0000,-60.80,12.83
111,1,0,0.0308,-47.54,6.98
111,1,2,0.0271,-56.66,14.05
111,2,0,0.0000,-56.09,12.83
111,2,1,0.0268,-57.27,14.05
112,0,1,0.0215,-52.86,6.98
112,0,2,0.0000,-60.80,12.83
112,1,0,0.0308,-47.54,6.98
112,1,2,0.0271,-56.66,14.05
112,2,0,0.0000,-56.09,12.83
112,2,1,0.0268,-57.27,14.05
113,0,1,0.0215,-52.86,6.98
113,0,2,0.0000,-60.80,12.83
113,1,0,0.0308,-47.54,6.98
113,1,2,0.0271,-56.66,14.05
113,2,0,0.0000,-56.09,12.83
113,2,1,0.0268,-57.27,14.05
114,0,1,0.0215,-52.86,6.98
114,0,2,0.0000,-60.80,12.83
114,1,0,0.0308,-47.54,6.98
114,1,2,0.0271,-56.66,14.05
114,2,0,0.0000,-56.09,12.83
114,2,1,0.0268,-57.27,14.05
115,0,1,0.0215,-52.86,6.98
115,0,2,0.0000,-60.80,12.83
115,1,0,0.0308,-47.54,6.98
115,1,2,0.0271,-56.66,14.05
